filename,fold,target,category,esc10,src_file,take,duration_sec
1-100032-A-0.wav,1,0,dog,True,100032,A,5
1-100210-A-36.wav,1,36,vacuum_cleaner,False,100210,A,5
1-100210-B-36.wav,1,36,vacuum_cleaner,False,100210,B,5
1-110389-A-0.wav,1,0,dog,True,110389,A,5
1-16568-A-3.wav,1,3,cow,False,16568,A,5
1-19840-A-36.wav,1,36,vacuum_cleaner,False,19840,A,5
1-19872-A-36.wav,1,36,vacuum_cleaner,False,19872,A,5
1-19872-B-36.wav,1,36,vacuum_cleaner,False,19872,B,5
1-202111-A-3.wav,1,3,cow,False,202111,A,5
1-30226-A-0.wav,1,0,dog,True,30226,A,5
1-30344-A-0.wav,1,0,dog,True,30344,A,5
1-32318-A-0.wav,1,0,dog,True,32318,A,5
1-34094-A-5.wav,1,5,cat,False,34094,A,5
1-34094-B-5.wav,1,5,cat,False,34094,B,5
1-46744-A-36.wav,1,36,vacuum_cleaner,False,46744,A,5
1-47819-A-5.wav,1,5,cat,False,47819,A,5
1-47819-B-5.wav,1,5,cat,False,47819,B,5
1-47819-C-5.wav,1,5,cat,False,47819,C,5
1-56380-A-5.wav,1,5,cat,False,56380,A,5
1-56380-B-5.wav,1,5,cat,False,56380,B,5
1-58277-A-3.wav,1,3,cow,False,58277,A,5
1-59513-A-0.wav,1,0,dog,True,59513,A,5
1-60460-A-36.wav,1,36,vacuum_cleaner,False,60460,A,5
1-69422-A-3.wav,1,3,cow,False,69422,A,5
1-69641-A-3.wav,1,3,cow,False,69641,A,5
1-77160-A-3.wav,1,3,cow,False,77160,A,5
1-77241-A-3.wav,1,3,cow,False,77241,A,5
1-79113-A-5.wav,1,5,cat,False,79113,A,5
1-79236-A-36.wav,1,36,vacuum_cleaner,False,79236,A,5
1-81269-A-3.wav,1,3,cow,False,81269,A,5
1-85362-A-0.wav,1,0,dog,True,85362,A,5
1-97392-A-0.wav,1,0,dog,True,97392,A,5
2-103423-A-3.wav,2,3,cow,False,103423,A,5
2-103424-A-3.wav,2,3,cow,False,103424,A,5
2-103426-A-3.wav,2,3,cow,False,103426,A,5
2-103427-A-3.wav,2,3,cow,False,103427,A,5
2-103428-A-3.wav,2,3,cow,False,103428,A,5
2-104877-A-3.wav,2,3,cow,False,104877,A,5
2-106072-A-36.wav,2,36,vacuum_cleaner,False,106072,A,5
2-106073-A-36.wav,2,36,vacuum_cleaner,False,106073,A,5
2-110010-A-5.wav,2,5,cat,False,110010,A,5
2-110011-A-5.wav,2,5,cat,False,110011,A,5
2-114280-A-0.wav,2,0,dog,True,114280,A,5
2-114587-A-0.wav,2,0,dog,True,114587,A,5
2-116400-A-0.wav,2,0,dog,True,116400,A,5
2-117271-A-0.wav,2,0,dog,True,117271,A,5
2-117795-A-3.wav,2,3,cow,False,117795,A,5
2-117795-B-3.wav,2,3,cow,False,117795,B,5
2-118072-A-0.wav,2,0,dog,True,118072,A,5
2-118964-A-0.wav,2,0,dog,True,118964,A,5
2-122104-A-0.wav,2,0,dog,True,122104,A,5
2-122104-B-0.wav,2,0,dog,True,122104,B,5
2-122820-A-36.wav,2,36,vacuum_cleaner,False,122820,A,5
2-122820-B-36.wav,2,36,vacuum_cleaner,False,122820,B,5
2-141681-A-36.wav,2,36,vacuum_cleaner,False,141681,A,5
2-141681-B-36.wav,2,36,vacuum_cleaner,False,141681,B,5
2-141682-A-36.wav,2,36,vacuum_cleaner,False,141682,A,5
2-141682-B-36.wav,2,36,vacuum_cleaner,False,141682,B,5
2-69131-A-5.wav,2,5,cat,False,69131,A,5
2-69131-B-5.wav,2,5,cat,False,69131,B,5
2-82274-A-5.wav,2,5,cat,False,82274,A,5
2-82274-B-5.wav,2,5,cat,False,82274,B,5
2-83934-A-5.wav,2,5,cat,False,83934,A,5
2-83934-B-5.wav,2,5,cat,False,83934,B,5
3-124376-A-3.wav,3,3,cow,False,124376,A,5
3-124376-B-3.wav,3,3,cow,False,124376,B,5
3-126358-A-3.wav,3,3,cow,False,126358,A,5
3-126358-B-3.wav,3,3,cow,False,126358,B,5
3-136288-A-0.wav,3,0,dog,True,136288,A,5
3-144028-A-0.wav,3,0,dog,True,144028,A,5
3-146964-A-5.wav,3,5,cat,False,146964,A,5
3-146965-A-5.wav,3,5,cat,False,146965,A,5
3-146972-A-5.wav,3,5,cat,False,146972,A,5
3-152020-A-36.wav,3,36,vacuum_cleaner,False,152020,A,5
3-152020-B-36.wav,3,36,vacuum_cleaner,False,152020,B,5
3-152020-C-36.wav,3,36,vacuum_cleaner,False,152020,C,5
3-152039-A-3.wav,3,3,cow,False,152039,A,5
3-152039-B-3.wav,3,3,cow,False,152039,B,5
3-155312-A-0.wav,3,0,dog,True,155312,A,5
3-157695-A-0.wav,3,0,dog,True,157695,A,5
3-159346-A-36.wav,3,36,vacuum_cleaner,False,159346,A,5
3-159346-B-36.wav,3,36,vacuum_cleaner,False,159346,B,5
3-159347-A-36.wav,3,36,vacuum_cleaner,False,159347,A,5
3-159347-B-36.wav,3,36,vacuum_cleaner,False,159347,B,5
3-159348-A-36.wav,3,36,vacuum_cleaner,False,159348,A,5
3-160993-A-3.wav,3,3,cow,False,160993,A,5
3-163459-A-0.wav,3,0,dog,True,163459,A,5
3-163727-A-3.wav,3,3,cow,False,163727,A,5
3-170015-A-0.wav,3,0,dog,True,170015,A,5
3-180256-A-0.wav,3,0,dog,True,180256,A,5
3-180977-A-0.wav,3,0,dog,True,180977,A,5
3-95694-A-5.wav,3,5,cat,False,95694,A,5
3-95695-A-5.wav,3,5,cat,False,95695,A,5
3-95695-B-5.wav,3,5,cat,False,95695,B,5
3-95697-A-5.wav,3,5,cat,False,95697,A,5
3-95698-A-5.wav,3,5,cat,False,95698,A,5
4-120160-A-5.wav,4,5,cat,False,120160,A,5
4-133047-A-5.wav,4,5,cat,False,133047,A,5
4-133047-B-5.wav,4,5,cat,False,133047,B,5
4-133047-C-5.wav,4,5,cat,False,133047,C,5
4-146200-A-36.wav,4,36,vacuum_cleaner,False,146200,A,5
4-149940-A-5.wav,4,5,cat,False,149940,A,5
4-149940-B-5.wav,4,5,cat,False,149940,B,5
4-161303-A-5.wav,4,5,cat,False,161303,A,5
4-161303-B-5.wav,4,5,cat,False,161303,B,5
4-172732-A-36.wav,4,36,vacuum_cleaner,False,172732,A,5
4-172733-A-36.wav,4,36,vacuum_cleaner,False,172733,A,5
4-172734-A-36.wav,4,36,vacuum_cleaner,False,172734,A,5
4-172736-A-36.wav,4,36,vacuum_cleaner,False,172736,A,5
4-172736-B-36.wav,4,36,vacuum_cleaner,False,172736,B,5
4-174860-A-3.wav,4,3,cow,False,174860,A,5
4-174860-B-3.wav,4,3,cow,False,174860,B,5
4-181955-A-3.wav,4,3,cow,False,181955,A,5
4-181955-B-3.wav,4,3,cow,False,181955,B,5
4-181955-C-3.wav,4,3,cow,False,181955,C,5
4-181999-A-36.wav,4,36,vacuum_cleaner,False,181999,A,5
4-182395-A-0.wav,4,0,dog,True,182395,A,5
4-183992-A-0.wav,4,0,dog,True,183992,A,5
4-184575-A-0.wav,4,0,dog,True,184575,A,5
4-191687-A-0.wav,4,0,dog,True,191687,A,5
4-192236-A-0.wav,4,0,dog,True,192236,A,5
4-194680-A-36.wav,4,36,vacuum_cleaner,False,194680,A,5
4-194754-A-0.wav,4,0,dog,True,194754,A,5
4-199261-A-0.wav,4,0,dog,True,199261,A,5
4-207124-A-0.wav,4,0,dog,True,207124,A,5
4-213915-A-3.wav,4,3,cow,False,213915,A,5
4-213915-B-3.wav,4,3,cow,False,213915,B,5
4-213915-C-3.wav,4,3,cow,False,213915,C,5
5-169983-A-5.wav,5,5,cat,False,169983,A,5
5-172299-A-5.wav,5,5,cat,False,172299,A,5
5-172639-A-5.wav,5,5,cat,False,172639,A,5
5-177614-A-5.wav,5,5,cat,False,177614,A,5
5-182007-A-36.wav,5,36,vacuum_cleaner,False,182007,A,5
5-182010-A-36.wav,5,36,vacuum_cleaner,False,182010,A,5
5-182012-A-36.wav,5,36,vacuum_cleaner,False,182012,A,5
5-188365-A-36.wav,5,36,vacuum_cleaner,False,188365,A,5
5-194899-A-3.wav,5,3,cow,False,194899,A,5
5-194899-B-3.wav,5,3,cow,False,194899,B,5
5-194899-C-3.wav,5,3,cow,False,194899,C,5
5-194899-D-3.wav,5,3,cow,False,194899,D,5
5-202795-A-3.wav,5,3,cow,False,202795,A,5
5-203128-A-0.wav,5,0,dog,True,203128,A,5
5-203128-B-0.wav,5,0,dog,True,203128,B,5
5-208030-A-0.wav,5,0,dog,True,208030,A,5
5-212054-A-36.wav,5,36,vacuum_cleaner,False,212054,A,5
5-212059-A-36.wav,5,36,vacuum_cleaner,False,212059,A,5
5-212454-A-0.wav,5,0,dog,True,212454,A,5
5-213855-A-0.wav,5,0,dog,True,213855,A,5
5-214759-A-5.wav,5,5,cat,False,214759,A,5
5-214759-B-5.wav,5,5,cat,False,214759,B,5
5-217158-A-0.wav,5,0,dog,True,217158,A,5
5-231551-A-36.wav,5,36,vacuum_cleaner,False,231551,A,5
5-231762-A-0.wav,5,0,dog,True,231762,A,5
5-242492-A-3.wav,5,3,cow,False,242492,A,5
5-253085-A-3.wav,5,3,cow,False,253085,A,5
5-253085-B-3.wav,5,3,cow,False,253085,B,5
5-256452-A-5.wav,5,5,cat,False,256452,A,5
5-259169-A-5.wav,5,5,cat,False,259169,A,5
5-263902-A-36.wav,5,36,vacuum_cleaner,False,263902,A,5
5-9032-A-0.wav,5,0,dog,True,9032,A,5
